Setting,ModelElement,precision,recall,f1,ModelID,LLM
0shot,Class,0.9375,0.46875,0.625, LabTracker,GPT4
0shot,Attribute,0.90741,0.45349,0.60475, LabTracker,GPT4
0shot,Association,0.5,0.15909,0.24138, LabTracker,GPT4
0shot,Class,0.9375,0.57692,0.71429, CelO,GPT4
0shot,Attribute,0.80357,0.80435,0.80396, CelO,GPT4
0shot,Association,0.33333,0.15,0.2069, CelO,GPT4
0shot,Class,0.85,0.46875,0.60427, TSS,GPT4
0shot,Attribute,0.92857,0.66667,0.77612, TSS,GPT4
0shot,Association,0.42857,0.225,0.29508, TSS,GPT4
0shot,Class,0.9,0.63043,0.74148, SHAS,GPT4
0shot,Attribute,0.35294,0.46154,0.4, SHAS,GPT4
0shot,Association,0.5,0.2037,0.28947, SHAS,GPT4
0shot,Class,0.94444,0.5625,0.70507, OTS,GPT4
0shot,Attribute,0.70455,0.48,0.57099, OTS,GPT4
0shot,Association,0.375,0.18421,0.24706, OTS,GPT4
0shot,Class,0.88889,0.53333,0.66667, Block,GPT4
0shot,Attribute,0.54,0.38333,0.44838, Block,GPT4
0shot,Association,0.61111,0.22917,0.33333, Block,GPT4
0shot,Class,0.8,0.55556,0.65574, TileO,GPT4
0shot,Attribute,0.41176,0.44737,0.42883, TileO,GPT4
0shot,Association,0.5,0.14286,0.22222, TileO,GPT4
0shot,Class,0.85,0.52778,0.65121, HBMS,GPT4
0shot,Attribute,0.44565,0.54688,0.4911, HBMS,GPT4
0shot,Association,0.25,0.13636,0.17647, HBMS,GPT4
1shot_BTMS,Class,0.9,0.5625,0.69231, LabTracker,GPT4
1shot_BTMS,Attribute,0.86486,0.5,0.63366, LabTracker,GPT4
1shot_BTMS,Association,0.70833,0.31818,0.43911, LabTracker,GPT4
1shot_BTMS,Class,0.94444,0.65385,0.77273, CelO,GPT4
1shot_BTMS,Attribute,0.84483,0.84783,0.84632, CelO,GPT4
1shot_BTMS,Association,0.59091,0.35,0.43961, CelO,GPT4
1shot_BTMS,Class,0.91667,0.625,0.74324, TSS,GPT4
1shot_BTMS,Attribute,0.48148,0.6875,0.56634, TSS,GPT4
1shot_BTMS,Association,0.375,0.15,0.21429, TSS,GPT4
1shot_BTMS,Class,0.84615,0.56522,0.67773, SHAS,GPT4
1shot_BTMS,Attribute,0.61905,0.46154,0.52881, SHAS,GPT4
1shot_BTMS,Association,0.59091,0.2037,0.30297, SHAS,GPT4
1shot_BTMS,Class,1,0.625,0.76923, OTS,GPT4
1shot_BTMS,Attribute,0.7619,0.48,0.58896, OTS,GPT4
1shot_BTMS,Association,0.31818,0.31579,0.31698, OTS,GPT4
1shot_BTMS,Class,1,0.8,0.88889, Block,GPT4
1shot_BTMS,Attribute,0.79545,0.51667,0.62644, Block,GPT4
1shot_BTMS,Association,0.625,0.3125,0.41667, Block,GPT4
1shot_BTMS,Class,0.88889,0.61111,0.72428, TileO,GPT4
1shot_BTMS,Attribute,0.81818,0.13158,0.2267, TileO,GPT4
1shot_BTMS,Association,0.35,0.16667,0.22581, TileO,GPT4
1shot_BTMS,Class,0.95833,0.66667,0.78632, HBMS,GPT4
1shot_BTMS,Attribute,0.58889,0.70313,0.64096, HBMS,GPT4
1shot_BTMS,Association,0.4375,0.27273,0.336, HBMS,GPT4
1shot_H2S,Class,0.95,0.59375,0.73077, LabTracker,GPT4
1shot_H2S,Attribute,0.90244,0.62791,0.74055, LabTracker,GPT4
1shot_H2S,Association,0.83333,0.40909,0.54878, LabTracker,GPT4
1shot_H2S,Class,0.83333,0.57692,0.68182, CelO,GPT4
1shot_H2S,Attribute,0.77778,0.69565,0.73443, CelO,GPT4
1shot_H2S,Association,0.58333,0.3,0.39623, CelO,GPT4
1shot_H2S,Class,0.88462,0.6875,0.7737, TSS,GPT4
1shot_H2S,Attribute,0.85294,0.72917,0.78621, TSS,GPT4
1shot_H2S,Association,0.47222,0.375,0.41803, TSS,GPT4
1shot_H2S,Class,0.69231,0.52174,0.59504, SHAS,GPT4
1shot_H2S,Attribute,0.33333,0.36538,0.34862, SHAS,GPT4
1shot_H2S,Association,0.7,0.25926,0.37838, SHAS,GPT4
1shot_H2S,Class,0.95,0.59375,0.73077, OTS,GPT4
1shot_H2S,Attribute,0.81818,0.64,0.7182, OTS,GPT4
1shot_H2S,Association,0.27273,0.10526,0.1519, OTS,GPT4
1shot_H2S,Class,0.84615,0.66667,0.74576, Block,GPT4
1shot_H2S,Attribute,0.575,0.38333,0.46, Block,GPT4
1shot_H2S,Association,0.65385,0.3125,0.42289, Block,GPT4
1shot_H2S,Class,0.72727,0.61111,0.66415, TileO,GPT4
1shot_H2S,Attribute,0.46154,0.21053,0.28916, TileO,GPT4
1shot_H2S,Association,0.16667,0.09524,0.12121, TileO,GPT4
1shot_H2S,Class,0.79167,0.55556,0.65292, HBMS,GPT4
1shot_H2S,Attribute,0.54054,0.67188,0.59909, HBMS,GPT4
1shot_H2S,Association,0.36364,0.13636,0.19835, HBMS,GPT4
2shots,Class,0.95,0.59375,0.73077, LabTracker,GPT4
2shots,Attribute,0.9,0.66279,0.76339, LabTracker,GPT4
2shots,Association,0.83333,0.40909,0.54878, LabTracker,GPT4
2shots,Class,0.94444,0.69231,0.79896, CelO,GPT4
2shots,Attribute,0.85185,0.78261,0.81576, CelO,GPT4
2shots,Association,0.44118,0.3,0.35714, CelO,GPT4
2shots,Class,0.91667,0.5625,0.69718, TSS,GPT4
2shots,Attribute,0.41176,0.66667,0.50909, TSS,GPT4
2shots,Association,0.59375,0.375,0.45968, TSS,GPT4
2shots,Class,1,0.47826,0.64706, SHAS,GPT4
2shots,Attribute,0.67647,0.40385,0.50576, SHAS,GPT4
2shots,Association,0.5,0.2963,0.37209, SHAS,GPT4
2shots,Class,0.95455,0.65625,0.77778, OTS,GPT4
2shots,Attribute,0.71739,0.58,0.64142, OTS,GPT4
2shots,Association,0.25,0.13158,0.17241, OTS,GPT4
2shots,Class,0.8,0.8,0.8, Block,GPT4
2shots,Attribute,0.47619,0.35,0.40346, Block,GPT4
2shots,Association,0.47222,0.35417,0.40476, Block,GPT4
2shots,Class,1,0.66667,0.8, TileO,GPT4
2shots,Attribute,0.9375,0.44737,0.6057, TileO,GPT4
2shots,Association,0.11765,0.09524,0.10526, TileO,GPT4
2shots,Class,0.95455,0.58333,0.72414, HBMS,GPT4
2shots,Attribute,0.6,0.625,0.61224, HBMS,GPT4
2shots,Association,0.375,0.20455,0.26471, HBMS,GPT4
CoT,Class,0.95,0.59375,0.73077, LabTracker,GPT4
CoT,Attribute,0.7125,0.62791,0.66753, LabTracker,GPT4
CoT,Association,0.45,0.20455,0.28125, LabTracker,GPT4
CoT,Class,0.75,0.53846,0.62687, CelO,GPT4
CoT,Attribute,0.64815,0.82609,0.72638, CelO,GPT4
CoT,Association,0.22222,0.075,0.11215, CelO,GPT4
CoT,Class,0.90909,0.625,0.74074, TSS,GPT4
CoT,Attribute,0.7,0.35417,0.47036, TSS,GPT4
CoT,Association,0.25,0.225,0.23684, TSS,GPT4
CoT,Class,0.9,0.54348,0.67771, SHAS,GPT4
CoT,Attribute,0.44118,0.30769,0.36254, SHAS,GPT4
CoT,Association,0.53846,0.25926,0.35, SHAS,GPT4
CoT,Class,1,0.5625,0.72, OTS,GPT4
CoT,Attribute,0.775,0.4,0.52766, OTS,GPT4
CoT,Association,0.41667,0.26316,0.32258, OTS,GPT4
CoT,Class,0.75,0.6,0.66667, Block,GPT4
CoT,Attribute,0.52273,0.41667,0.46371, Block,GPT4
CoT,Association,0.39286,0.1875,0.25385, Block,GPT4
CoT,Class,0.85714,0.44444,0.58537, TileO,GPT4
CoT,Attribute,0.83333,0.18421,0.30172, TileO,GPT4
CoT,Association,0.64286,0.2619,0.37218, TileO,GPT4
CoT,Class,0.80769,0.47222,0.59599, HBMS,GPT4
CoT,Attribute,0.52381,0.46875,0.49475, HBMS,GPT4
CoT,Association,0.46154,0.18182,0.26087, HBMS,GPT4
0shot,Class,0.92857,0.4375,0.59477,LabTracker,GPT3
0shot,Attribute,0.75926,0.34884,0.47804,LabTracker,GPT3
0shot,Association,0.64286,0.20455,0.31034,LabTracker,GPT3
0shot,Class,0.91667,0.42308,0.57895,CelO,GPT3
0shot,Attribute,0.78261,0.56522,0.65638,CelO,GPT3
0shot,Association,0.41667,0.15,0.22059,CelO,GPT3
0shot,Class,0.88889,0.46875,0.61381,TSS,GPT3
0shot,Attribute,0.77778,0.625,0.69307,TSS,GPT3
0shot,Association,0.0625,0.05,0.05556,TSS,GPT3
0shot,Class,0.81818,0.43478,0.56782,SHAS,GPT3
0shot,Attribute,0.55,0.40385,0.46573,SHAS,GPT3
0shot,Association,0.33333,0.11111,0.16667,SHAS,GPT3
0shot,Class,1,0.25,0.4,OTS,GPT3
0shot,Attribute,0.7,0.24,0.35745,OTS,GPT3
0shot,Association,0,0,0,OTS,GPT3
0shot,Class,0.85714,0.4,0.54545,Block,GPT3
0shot,Attribute,0.30952,0.25,0.2766,Block,GPT3
0shot,Association,0.3125,0.10417,0.15625,Block,GPT3
0shot,Class,1,0.36111,0.53061,TileO,GPT3
0shot,Attribute,0.23684,0.21053,0.22291,TileO,GPT3
0shot,Association,0.33333,0.09524,0.14815,TileO,GPT3
0shot,Class,0.6875,0.36111,0.47351,HBMS,GPT3
0shot,Attribute,0.46,0.34375,0.39347,HBMS,GPT3
0shot,Association,0.14286,0.04545,0.06897,HBMS,GPT3
1shot_BTMS,Class,1,0.4375,0.6087,LabTracker,GPT3
1shot_BTMS,Attribute,0.85714,0.32558,0.47191,LabTracker,GPT3
1shot_BTMS,Association,0.86364,0.38636,0.53388,LabTracker,GPT3
1shot_BTMS,Class,1,0.65385,0.7907,CelO,GPT3
1shot_BTMS,Attribute,0.775,0.56522,0.65369,CelO,GPT3
1shot_BTMS,Association,0.71429,0.36842,0.48611,CelO,GPT3
1shot_BTMS,Class,0.91667,0.375,0.53226,TSS,GPT3
1shot_BTMS,Attribute,0.83333,0.41667,0.55556,TSS,GPT3
1shot_BTMS,Association,0.55556,0.225,0.32028,TSS,GPT3
1shot_BTMS,Class,1,0.5,0.66667,SHAS,GPT3
1shot_BTMS,Attribute,0.7,0.30769,0.42748,SHAS,GPT3
1shot_BTMS,Association,0.55,0.18966,0.28205,SHAS,GPT3
1shot_BTMS,Class,1,0.5,0.66667,OTS,GPT3
1shot_BTMS,Attribute,0.79167,0.28,0.41369,OTS,GPT3
1shot_BTMS,Association,0.46667,0.28947,0.35731,OTS,GPT3
1shot_BTMS,Class,0.875,0.53333,0.66272,Block,GPT3
1shot_BTMS,Attribute,0.61765,0.35,0.44681,Block,GPT3
1shot_BTMS,Association,0.27778,0.10417,0.15152,Block,GPT3
1shot_BTMS,Class,0.85714,0.41667,0.56075,TileO,GPT3
1shot_BTMS,Attribute,0.875,0.10526,0.18792,TileO,GPT3
1shot_BTMS,Association,0.5,0.21429,0.3,TileO,GPT3
1shot_BTMS,Class,1,0.38889,0.56,HBMS,GPT3
1shot_BTMS,Attribute,0.40909,0.125,0.19149,HBMS,GPT3
1shot_BTMS,Association,0.5,0.11364,0.18519,HBMS,GPT3
1shot_H2S,Class,1,0.5,0.66667,LabTracker,GPT3
1shot_H2S,Attribute,0.71154,0.34884,0.46816,LabTracker,GPT3
1shot_H2S,Association,0.73333,0.38636,0.50609,LabTracker,GPT3
1shot_H2S,Class,1,0.46154,0.63158,CelO,GPT3
1shot_H2S,Attribute,0.84211,0.5,0.62745,CelO,GPT3
1shot_H2S,Association,0.5625,0.2,0.29508,CelO,GPT3
1shot_H2S,Class,0.9,0.5625,0.69231,TSS,GPT3
1shot_H2S,Attribute,0.83333,0.5625,0.67164,TSS,GPT3
1shot_H2S,Association,0.4,0.15,0.21818,TSS,GPT3
1shot_H2S,Class,0.94444,0.47826,0.63497,SHAS,GPT3
1shot_H2S,Attribute,0.61538,0.34615,0.44308,SHAS,GPT3
1shot_H2S,Association,0.65,0.2037,0.3102,SHAS,GPT3
1shot_H2S,Class,1,0.3125,0.47619,OTS,GPT3
1shot_H2S,Attribute,0.72727,0.2,0.31373,OTS,GPT3
1shot_H2S,Association,0.33333,0.05263,0.09091,OTS,GPT3
1shot_H2S,Class,1,0.46667,0.63636,Block,GPT3
1shot_H2S,Attribute,0.43333,0.25,0.31707,Block,GPT3
1shot_H2S,Association,0.625,0.20833,0.3125,Block,GPT3
1shot_H2S,Class,0.91667,0.5,0.64706,TileO,GPT3
1shot_H2S,Attribute,0.5625,0.05263,0.09626,TileO,GPT3
1shot_H2S,Association,0.42857,0.14286,0.21429,TileO,GPT3
1shot_H2S,Class,0.8125,0.41667,0.55085,HBMS,GPT3
1shot_H2S,Attribute,0.47059,0.23438,0.31291,HBMS,GPT3
1shot_H2S,Association,0.35,0.09091,0.14433,HBMS,GPT3
2shots,Class,1,0.4375,0.6087,LabTracker,GPT3
2shots,Attribute,0.86,0.43023,0.57354,LabTracker,GPT3
2shots,Association,0.90909,0.40909,0.56426,LabTracker,GPT3
2shots,Class,0.91667,0.42308,0.57895,CelO,GPT3
2shots,Attribute,0.81818,0.56522,0.66857,CelO,GPT3
2shots,Association,0.57143,0.225,0.32287,CelO,GPT3
2shots,Class,0.9375,0.53125,0.67819,TSS,GPT3
2shots,Attribute,0.79167,0.5625,0.65769,TSS,GPT3
2shots,Association,0.5,0.25,0.33333,TSS,GPT3
2shots,Class,0.88889,0.43478,0.58394,SHAS,GPT3
2shots,Attribute,0.5,0.25,0.33333,SHAS,GPT3
2shots,Association,0.5,0.14815,0.22857,SHAS,GPT3
2shots,Class,0.94444,0.53125,0.68,OTS,GPT3
2shots,Attribute,0.77778,0.42,0.54545,OTS,GPT3
2shots,Association,0.32143,0.18421,0.2342,OTS,GPT3
2shots,Class,0.90909,0.6,0.72289,Block,GPT3
2shots,Attribute,0.46154,0.28333,0.35112,Block,GPT3
2shots,Association,0.69231,0.27083,0.38935,Block,GPT3
2shots,Class,0.77778,0.58333,0.66667,TileO,GPT3
2shots,Attribute,0.71429,0.21053,0.3252,TileO,GPT3
2shots,Association,0.44444,0.14286,0.21622,TileO,GPT3
2shots,Class,0.92857,0.47222,0.62606,HBMS,GPT3
2shots,Attribute,0.45652,0.3125,0.37102,HBMS,GPT3
2shots,Association,0.40909,0.15909,0.22909,HBMS,GPT3
CoT,Class,1,0.53125,0.69388,LabTracker,GPT3
CoT,Attribute,0.79032,0.5,0.6125,LabTracker,GPT3
CoT,Association,0.42857,0.11364,0.17964,LabTracker,GPT3
CoT,Class,0.85714,0.46154,0.6,CelO,GPT3
CoT,Attribute,0.54839,0.56522,0.55668,CelO,GPT3
CoT,Association,0,0,0,CelO,GPT3
CoT,Class,0.85714,0.375,0.52174,TSS,GPT3
CoT,Attribute,0.55556,0.39583,0.46229,TSS,GPT3
CoT,Association,0.33333,0.1,0.15385,TSS,GPT3
CoT,Class,0.875,0.56522,0.68679,SHAS,GPT3
CoT,Attribute,0.47222,0.32692,0.38636,SHAS,GPT3
CoT,Association,0.63636,0.25926,0.36842,SHAS,GPT3
CoT,Class,1,0.4375,0.6087,OTS,GPT3
CoT,Attribute,0.79167,0.2,0.31933,OTS,GPT3
CoT,Association,0.64286,0.18421,0.28636,OTS,GPT3
CoT,Class,0.88889,0.53333,0.66667,Block,GPT3
CoT,Attribute,0.46875,0.28333,0.35319,Block,GPT3
CoT,Association,0.28571,0.08333,0.12903,Block,GPT3
CoT,Class,1,0.47222,0.64151,TileO,GPT3
CoT,Attribute,0.5,0.10526,0.17391,TileO,GPT3
CoT,Association,0.375,0.14286,0.2069,TileO,GPT3
CoT,Class,0.66667,0.38889,0.49123,HBMS,GPT3
CoT,Attribute,0.2963,0.25,0.27119,HBMS,GPT3
CoT,Association,0.07143,0.04545,0.05556,HBMS,GPT3
0shot,Class,0.92857,0.46875,0.623,LabTracker,CHAT
0shot,Attribute,0.86957,0.39535,0.54357,LabTracker,CHAT
0shot,Association,0.21429,0.06818,0.10345,LabTracker,CHAT
0shot,Class,0.92857,0.53846,0.68165,CelO,CHAT
0shot,Attribute,0.89583,0.82609,0.85955,CelO,CHAT
0shot,Association,0.28571,0.125,0.17391,CelO,CHAT
0shot,Class,0.9,0.59375,0.71548,TSS,CHAT
0shot,Attribute,0.3871,0.4375,0.41076,TSS,CHAT
0shot,Association,0.33333,0.15,0.2069,TSS,CHAT
0shot,Class,1,0.30435,0.46667,SHAS,CHAT
0shot,Attribute,0.4,0.28846,0.3352,SHAS,CHAT
0shot,Association,0.5,0.11111,0.18182,SHAS,CHAT
0shot,Class,0.85714,0.34375,0.49071,OTS,CHAT
0shot,Attribute,0.5,0.38,0.43182,OTS,CHAT
0shot,Association,0.1,0,0,OTS,CHAT
0shot,Class,0.9,0.33333,0.48649,Block,CHAT
0shot,Attribute,0.44118,0.25,0.31915,Block,CHAT
0shot,Association,0.18182,0.10417,0.13245,Block,CHAT
0shot,Class,0.71429,0.25,0.37037,TileO,CHAT
0shot,Attribute,0.2,0.07895,0.11321,TileO,CHAT
0shot,Association,0.20833,0.11905,0.15152,TileO,CHAT
0shot,Class,0.75,0.41667,0.53571,HBMS,CHAT
0shot,Attribute,0.5,0.375,0.42857,HBMS,CHAT
0shot,Association,0.25,0.09091,0.13333,HBMS,CHAT
1shot_BTMS,Class,1,0.60714,0.75556,LabTracker,CHAT
1shot_BTMS,Attribute,0.72581,0.43023,0.54023,LabTracker,CHAT
1shot_BTMS,Association,0.72727,0.31818,0.44269,LabTracker,CHAT
1shot_BTMS,Class,0.92857,0.57692,0.71168,CelO,CHAT
1shot_BTMS,Attribute,0.86364,0.76087,0.809,CelO,CHAT
1shot_BTMS,Association,0.66667,0.275,0.38938,CelO,CHAT
1shot_BTMS,Class,0.94444,0.5625,0.70507,TSS,CHAT
1shot_BTMS,Attribute,0.9,0.29167,0.44056,TSS,CHAT
1shot_BTMS,Association,0.375,0.35,0.36207,TSS,CHAT
1shot_BTMS,Class,1,0.41304,0.58462,SHAS,CHAT
1shot_BTMS,Attribute,0.5,0.17308,0.25714,SHAS,CHAT
1shot_BTMS,Association,0.19231,0.09259,0.125,SHAS,CHAT
1shot_BTMS,Class,0.9,0.28125,0.42857,OTS,CHAT
1shot_BTMS,Attribute,0.55556,0.2,0.29412,OTS,CHAT
1shot_BTMS,Association,0.03333,0.02632,0.02941,OTS,CHAT
1shot_BTMS,Class,0.85,0.56667,0.68,Block,CHAT
1shot_BTMS,Attribute,0.31034,0.31667,0.31347,Block,CHAT
1shot_BTMS,Association,0.1,0.08333,0.09091,Block,CHAT
1shot_BTMS,Class,0.95455,0.72222,0.82229,TileO,CHAT
1shot_BTMS,Attribute,0.71429,0.21053,0.3252,TileO,CHAT
1shot_BTMS,Association,0.41667,0.2381,0.30303,TileO,CHAT
1shot_BTMS,Class,1,0.38889,0.56,HBMS,CHAT
1shot_BTMS,Attribute,0.55,0.28125,0.37218,HBMS,CHAT
1shot_BTMS,Association,0.33333,0.13636,0.19355,HBMS,CHAT
1shot_H2S,Class,0.95,0.625,0.75397,LabTracker,CHAT
1shot_H2S,Attribute,0.70833,0.47674,0.56991,LabTracker,CHAT
1shot_H2S,Association,0.55556,0.18182,0.27397,LabTracker,CHAT
1shot_H2S,Class,0.95,0.53846,0.68734,CelO,CHAT
1shot_H2S,Attribute,0.78261,0.69565,0.73657,CelO,CHAT
1shot_H2S,Association,0.38235,0.25,0.30233,CelO,CHAT
1shot_H2S,Class,0.8,0.5625,0.66055,TSS,CHAT
1shot_H2S,Attribute,0.5,0.3125,0.38462,TSS,CHAT
1shot_H2S,Association,0.20833,0.075,0.11029,TSS,CHAT
1shot_H2S,Class,0.90909,0.52174,0.66298,SHAS,CHAT
1shot_H2S,Attribute,0.52941,0.32692,0.40423,SHAS,CHAT
1shot_H2S,Association,0.54167,0.24074,0.33333,SHAS,CHAT
1shot_H2S,Class,0.68182,0.5,0.57692,OTS,CHAT
1shot_H2S,Attribute,0.35,0.34,0.34493,OTS,CHAT
1shot_H2S,Association,0.1875,0.18421,0.18584,OTS,CHAT
1shot_H2S,Class,0.91667,0.66667,0.77193,Block,CHAT
1shot_H2S,Attribute,0.29688,0.33333,0.31405,Block,CHAT
1shot_H2S,Association,0.39474,0.22917,0.28998,Block,CHAT
1shot_H2S,Class,0.75,0.69444,0.72115,TileO,CHAT
1shot_H2S,Attribute,0.61538,0.21053,0.31373,TileO,CHAT
1shot_H2S,Association,0.22727,0.21429,0.22059,TileO,CHAT
1shot_H2S,Class,0.85714,0.38889,0.53503,HBMS,CHAT
1shot_H2S,Attribute,0.52632,0.28125,0.3666,HBMS,CHAT
1shot_H2S,Association,0.28125,0.20455,0.23684,HBMS,CHAT
2shots,Class,0.79167,0.625,0.69853,LabTracker,CHAT
2shots,Attribute,0.8,0.5,0.61538,LabTracker,CHAT
2shots,Association,0.5625,0.36364,0.44172,LabTracker,CHAT
2shots,Class,0.9375,0.61538,0.74303,CelO,CHAT
2shots,Attribute,0.48214,0.67391,0.56212,CelO,CHAT
2shots,Association,0.53846,0.375,0.44211,CelO,CHAT
2shots,Class,0.9375,0.46875,0.625,TSS,CHAT
2shots,Attribute,0.75,0.4375,0.55263,TSS,CHAT
2shots,Association,0.44444,0.25,0.32,TSS,CHAT
2shots,Class,0.83333,0.5,0.625,SHAS,CHAT
2shots,Attribute,0.30435,0.38462,0.33981,SHAS,CHAT
2shots,Association,0.55556,0.18519,0.27778,SHAS,CHAT
2shots,Class,0.86364,0.5625,0.68127,OTS,CHAT
2shots,Attribute,0.60345,0.48,0.53469,OTS,CHAT
2shots,Association,0.34375,0.18421,0.23988,OTS,CHAT
2shots,Class,0.9,0.6,0.72,Block,CHAT
2shots,Attribute,0.5,0.23333,0.31818,Block,CHAT
2shots,Association,0.16667,0.14583,0.15556,Block,CHAT
2shots,Class,0.90909,0.72222,0.80495,TileO,CHAT
2shots,Attribute,0.63889,0.26316,0.37277,TileO,CHAT
2shots,Association,0.3,0.19048,0.23301,TileO,CHAT
2shots,Class,0.8,0.41667,0.54795,HBMS,CHAT
2shots,Attribute,0.38889,0.3125,0.34653,HBMS,CHAT
2shots,Association,0.23333,0.15909,0.18919,HBMS,CHAT
CoT,Class,1,0.40625,0.57778,LabTracker,CHAT
CoT,Attribute,0.875,0.36047,0.51059,LabTracker,CHAT
CoT,Association,0.75,0.20455,0.32143,LabTracker,CHAT
CoT,Class,1,0.5,0.66667,CelO,CHAT
CoT,Attribute,0.91071,0.86957,0.88966,CelO,CHAT
CoT,Association,0.3,0.1,0.15,CelO,CHAT
CoT,Class,0.9375,0.40625,0.56686,TSS,CHAT
CoT,Attribute,0.9,0.29167,0.44056,TSS,CHAT
CoT,Association,0.25,0.05,0.08333,TSS,CHAT
CoT,Class,0.9,0.5,0.64286,SHAS,CHAT
CoT,Attribute,0.64286,0.36538,0.46594,SHAS,CHAT
CoT,Association,0.63636,0.25926,0.36842,SHAS,CHAT
CoT,Class,0.83333,0.3125,0.45455,OTS,CHAT
CoT,Attribute,0.86364,0.26,0.39968,OTS,CHAT
CoT,Association,0.16667,0.07895,0.10714,OTS,CHAT
CoT,Class,1,0.53333,0.69565,Block,CHAT
CoT,Attribute,0.34483,0.41667,0.37736,Block,CHAT
CoT,Association,0.375,0.16667,0.23077,Block,CHAT
CoT,Class,0.72222,0.5,0.59091,TileO,CHAT
CoT,Attribute,0.42857,0.10526,0.16901,TileO,CHAT
CoT,Association,0.03333,0.02381,0.02778,TileO,CHAT
CoT,Class,0.63636,0.38889,0.48276,HBMS,CHAT
CoT,Attribute,0.43333,0.375,0.40206,HBMS,CHAT
CoT,Association,0.13333,0.09091,0.10811,HBMS,CHAT